LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,8,
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,8,
0-EU-ES-28-07-001-079-21-004,Timón,8,
0-EU-ES-28-07-001-079-01-001,Palacio,8,
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,8,
0-EU-ES-28-07-001-079-02-001,Imperial,8,
0-EU-ES-28-07-001-079-02-003,Chopera,8,
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,8,
0-EU-ES-28-07-001-079-03-002,Adelfas,8,
0-EU-ES-28-07-001-079-04-002,Goya,8,
0-EU-ES-28-07-001-079-04-005,Lista,8,
0-EU-ES-28-07-001-079-08-001,El Pardo,8,
0-EU-ES-28-07-001-079-09-003,Ciudad Universitaria,8,
0-EU-ES-28-07-001-079-09-004,Valdezarza,8,
0-EU-ES-28-07-001-079-11-006,Buena Vista,8,
0-EU-ES-28-07-001-079-12-004,Almendrales,8,
0-EU-ES-28-07-001-079-12-001,Orcasitas,8,
0-EU-ES-28-07-001-079-13-005,Portazgo,8,
0-EU-ES-28-07-001-079-14-001,Pavones,8,
0-EU-ES-28-07-001-079-14-002,Horcajo,8,
0-EU-ES-28-07-001-079-18-002,Santa Eugenia,8,
0-EU-ES-28-07-001-079-18-003,Ensanche de Vallecas - La Gavia,8,
0-EU-ES-28-07-001-079-19-002,Ambroz,8,
0-EU-ES-28-07-001-079-19-004,El Cañaveral - Los Berrocales,8,
0-EU-ES-28-07-001-079-04-006,Castellana,8,
0-EU-ES-28-07-001-079-05-004,Bernabéu-Hispanoamérica,8,
0-EU-ES-28-07-001-079-05-005,Nueva España,8,
0-EU-ES-28-07-001-079-06-001,Bellas Vistas,8,
0-EU-ES-28-07-001-079-06-006,Berruguete,8,
0-EU-ES-28-07-001-079-07-005,Nuevos Ministerios-Ríos Rosas,8,
0-EU-ES-28-07-001-079-08-005,La Paz,8,
0-EU-ES-28-07-001-079-08-008,Montecarmelo,8,
0-EU-ES-28-07-001-079-10-004,Aluche,8,
0-EU-ES-28-07-001-079-11-003,San Isidro,8,
0-EU-ES-28-07-001-079-11-001,Comillas,8,
0-EU-ES-28-07-001-079-11-004,Vista Alegre,8,
0-EU-ES-28-07-001-079-15-001,Ventas,8,
0-EU-ES-28-07-001-079-15-003,Quintana,8,
0-EU-ES-28-07-001-079-15-006,San Juan Bautista,8,
0-EU-ES-28-07-001-079-17-002,San Cristóbal,8,
0-EU-ES-28-07-001-079-17-005,Los Ángeles,8,
0-EU-ES-28-07-001-079-20-005,Rosas,8,
0-EU-ES-28-07-001-079-20-004,Arcos,8,
0-EU-ES-28-07-001-079-03-005,Jerónimos,8,
0-EU-ES-28-07-001-079-08-004,Pilar,8,
0-EU-ES-28-07-001-079-08-009,Las Tablas,8,
0-EU-ES-28-07-001-079-14-003,Marroquina,8,
0-EU-ES-28-07-001-079-09-005,Valdemarín,8,
0-EU-ES-28-07-001-079-03-001,Pacífico,8,
0-EU-ES-28-07-001-079-03-003,Estrella,8,
0-EU-ES-28-07-001-079-05-001,El Viso,8,
0-EU-ES-28-07-001-079-10-002,Puerta del Ángel,8,
0-EU-ES-28-07-001-079-09-006,El Plantío,8,
0-EU-ES-28-07-001-079-16-005,Apóstol Santiago,8,
0-EU-ES-28-07-001-079-14-006,Vinateros,8,
0-EU-ES-28-07-001-079-04-004,Guindalera,8,
0-EU-ES-28-07-001-079-15-004,Concepción,8,
0-EU-ES-28-07-001-079-05-002,Prosperidad,8,
0-EU-ES-28-07-001-079-16-001,Palomas,8,
0-EU-ES-28-07-001-079-15-007,Colina,8,
0-EU-ES-28-07-001-079-10-003,Lucero,8,
0-EU-ES-28-07-001-079-16-007,Virgen del Cortijo - Manoteras,8,
0-EU-ES-28-07-001-079-15-005,San Pascual,8,
0-EU-ES-28-07-001-079-02-005,Delicias,8,
0-EU-ES-28-07-001-079-14-004,Media Legua,8,
0-EU-ES-28-07-001-079-03-004,Ibiza,8,
